100827	100827_QuestoesQ__Imagem__2775.png	1	Racionais
100907	100907_QuestoesQ__Imagem__2789.png	1	Racionais
102222	102222_QuestoesQ__Imagem__2824.png	1	Racionais
105020	105020_QuestoesQ__Imagem__2877.png	4	Racionais
124181	124181_QuestoesQ__Imagem__3366.png	1	Racionais
124183	124183_QuestoesQ__Imagem__3367.png	2	Racionais
125603	125603_QuestoesQ__Imagem__3423.png	1	Racionais
125677	125677_QuestoesQ__Imagem__3428.png	2	Racionais
126444	126444_QuestoesQ__Imagem__3451.png	2	Racionais
130123	130123_QuestoesQ__Imagem__3542.png	0	Racionais
130139	130139_QuestoesQ__Imagem__3544.png	0	Racionais
133372	133372_QuestoesQ__Imagem__3660.png	1	Racionais
133423	133423_QuestoesQ__Imagem__3663.png	1	Racionais
133739	133739_QuestoesQ__Imagem__3677.png	1	Racionais
134050	134050_QuestoesQ__Imagem__3687.png	1	Sistema de Equações
134479	134479_QuestoesQ__Imagem__3739.png	1	Racionais
134489	134489_QuestoesQ__Imagem__3740.png	1	Racionais
134540	134540_QuestoesQ__Imagem__3742.png	1	Racionais
134682	134682_QuestoesQ__Imagem__3751.png	1	Racionais
134838	134838_QuestoesQ__Imagem__3760.png	0	Sistema de Equações
134972	134972_QuestoesQ__Imagem__3777.png	3	Racionais
135107	135107_QuestoesQ__Imagem__3787.png	1	Racionais
135271	135271_QuestoesQ__Imagem__3799.png	7	Racionais
136060	136060_QuestoesQ__Imagem__3823.png	1	Racionais
136105	136105_QuestoesQ__Imagem__3824.png	1	Racionais
136191	136191_QuestoesQ__Imagem__3827.png	1	Racionais
136420	136420_QuestoesQ__Imagem__3834.png	1	Sistema de Equações
136734	136734_QuestoesQ__Imagem__3846.png	1	Sistema de Equações
136767	136767_QuestoesQ__Imagem__3847.png	1	Sistema de Equações
136781	136781_QuestoesQ__Imagem__3848.png	1	Sistema de Equações
137224	137224_QuestoesQ__Imagem__3863.png	2	Racionais
138663	138663_QuestoesQ__Imagem__3981.png	0	Racionais
138681	138681_QuestoesQ__Imagem__3983.png	1	Racionais
139009	139009_QuestoesQ__Imagem__3997.png	1	Racionais
139116	139116_QuestoesQ__Imagem__4003.png	1	Racionais
139830	139830_QuestoesQ__Imagem__4031.png	1	Racionais
141168	141168_QuestoesQ__Imagem__4096.png	1	Racionais
141743	141743_QuestoesQ__Imagem__4112.png	1	Sistema de Equações
142395	142395_QuestoesQ__Imagem__4147.png	1	Racionais
142415	142415_QuestoesQ__Imagem__4148.png	2	Racionais
145086	145086_QuestoesQ__Imagem__4233.png	1	Racionais
147316	147316_QuestoesQ__Imagem__4309.jpg	1	Racionais
147336	147336_QuestoesQ__Imagem__4311.jpg	1	Racionais
147536	147536_QuestoesQ__Imagem__4320.png	1	Racionais
147773	147773_QuestoesQ__Imagem__4327.png	1	Racionais
17172	17172_QuestoesQ__Imagem__346.png	1	Sistema de Equações
18586	18586_QuestoesQ__Imagem__381.png	2	Racionais
22568	22568_QuestoesQ__Imagem__490.png	1	Sistema de Equações
23753	23753_QuestoesQ__Imagem__561.png	2	Sistema de Equações
26514	26514_QuestoesQ__Imagem__661.png	2	Sistema de Equações
26682	26682_QuestoesQ__Imagem__674.png	1	Racionais
27089	27089_QuestoesQ__Imagem__684.png	1	Racionais
28382	28382_QuestoesQ__Imagem__731.png	2	Sistema de Equações
28960	28960_QuestoesQ__Imagem__747.png	1	Racionais
33053	33053_QuestoesQ__Imagem__877.png	1	Racionais
37131	37131_QuestoesQ__Imagem__999.png	1	Sistema de Equações
37676	37676_QuestoesQ__Imagem__1036.png	1	Racionais
38938	38938_QuestoesQ__Imagem__1092.png	2	Sistema de Equações
42856	42856_QuestoesQ__Imagem__1234.png	3	Racionais
43779	43779_QuestoesQ__Imagem__1252.png	1	Racionais
47243	47243_QuestoesQ__Imagem__1327.png	1	Racionais
51009	51009_QuestoesQ__Imagem__1371.png	2	Racionais
51104	51104_QuestoesQ__Imagem__1376.png	1	Sistema de Equações
58866	58866_QuestoesQ__Imagem__1519.png	2	Racionais
59029	59029_QuestoesQ__Imagem__1536.png	2	Sistema de Equações
66512	66512_QuestoesQ__Imagem__1736.png	1	Racionais
73502	73502_QuestoesQ__Imagem__1828.png	1	Sistema de Equações
73543	73543_QuestoesQ__Imagem__1830.png	1	Sistema de Equações
74379	74379_QuestoesQ__Imagem__1845.png	1	Sistema de Equações
76366	76366_QuestoesQ__Imagem__1909.png	1	Racionais
83340	83340_QuestoesQ__Imagem__2068.png	1	Sistema de Equações
83668	83668_QuestoesQ__Imagem__2078.png	1	Sistema de Equações
8460	8460_QuestoesQ__Imagem__125.png	2	Sistema de Equações
85311	85311_QuestoesQ__Imagem__2156.png	1	Racionais
86368	86368_QuestoesQ__Imagem__2205.png	2	Racionais
86944	86944_QuestoesQ__Imagem__2235.png	1	Sistema de Equações
87596	87596_QuestoesQ__Imagem__2262.png	1	Racionais
89371	89371_QuestoesQ__Imagem__2304.png	1	Racionais
89673	89673_QuestoesQ__Imagem__2315.png	2	Sistema de Equações
89926	89926_QuestoesQ__Imagem__2321.png	0	Sistema de Equações
89943	89943_QuestoesQ__Imagem__2325.png	0	Sistema de Equações
89979	89979_QuestoesQ__Imagem__2334.png	0	Sistema de Equações
90438	90438_QuestoesQ__Imagem__2353.png	0	Racionais
90585	90585_QuestoesQ__Imagem__2369.png	0	Racionais
95274	95274_QuestoesQ__Imagem__2562.png	1	Racionais
96285	96285_QuestoesQ__Imagem__2618.png	2	Racionais
96324	96324_QuestoesQ__Imagem__2619.png	2	Racionais
97163	97163_QuestoesQ__Imagem__2648.png	1	Racionais
97197	97197_QuestoesQ__Imagem__2651.png	3	Racionais
97223	97223_QuestoesQ__Imagem__2653.png	3	Racionais
98175	98175_QuestoesQ__Imagem__2721.png	2	Racionais
